# ========================== The Crows — Diablo IV ==========================
# CSV de Membros — formato: nome, whatsapp, ts
nome,whatsapp,ts
Lilith,5599999999999,2026-02-19T05:49:32.978Z
Lilith,5599999999999,2026-02-19T14:06:22.533Z
Lilith,5599999999999,2026-02-19T14:21:40.738Z
Lilith,5599999999999,2026-02-19T14:40:58.492Z
Lilith,5599999999999,2026-02-19T16:29:06.159Z
Lilith,5599999999999,2026-02-21T14:36:30.251Z
Lilith,5599999999999,2026-02-21T18:31:48.142Z
Lilith,5599999999999,2026-02-23T02:58:36.545Z
Lilith,5599999999999,2026-02-23T04:38:14.410Z
Lilith,5599999999999,2026-02-23T14:31:35.523Z
